Region_Type,Region_Name,Region_Name_Code,URL
Districts,IDN.94.463,"Nduga, Kab.",
Districts,IDN.53.260,"Ngada, Kab.",
Districts,IDN.35.148,"Nganjuk, Kab.",
Districts,IDN.35.149,"Ngawi, Kab.",
Districts,IDN.12.479,"Nias Barat, Kab.",
Districts,IDN.12.387,"Nias Selatan, Kab.",
Districts,IDN.12.478,"Nias Utara, Kab.",
Districts,IDN.12.16,"Nias, Kab.",
Districts,IDN.64.324,"Nunukan, Kab.",
Provinces,IDN.52,"Nusa Tenggara Barat, Prop.",http://dbpedia.org/resource/West_Nusa_Tenggara
Provinces,IDN.53,"Nusa Tenggara Timur, Prop.",http://dbpedia.org/resource/East_Nusa_Tenggara
Districts,IDN.16.418,"Ogan Ilir, Kab.",
Districts,IDN.16.58,"Ogan Komering Ilir, Kab.",
Districts,IDN.16.420,"Ogan Komering Ulu Selatan, Kab.",
Districts,IDN.16.419,"Ogan Komering Ulu Timur, Kab.",
Districts,IDN.16.59,"Ogan Komering Ulu, Kab.",
Districts,IDN.35.150,"Pacitan, Kab.",
Districts,IDN.12.458,"Padang Lawas Utara, Kab.",
Districts,IDN.12.459,"Padang Lawas, Kab.",
Cities,IDN.13.38,"Padang Panjang, Kota",
Districts,IDN.13.30,"Padang Pariaman, Kab.",
Cities,IDN.12.339,"Padang Sidempuan, Kota",
Cities,IDN.13.37,"Padang, Kota",
Cities,IDN.16.342,"Pagar Alam, Kota",
Districts,IDN.12.386,"Pakpak Bharat, Kab.",
Cities,IDN.62.182,"Palangkaraya, Kota",
Cities,IDN.16.60,"Palembang, Kota",
Cities,IDN.73.368,"Palopo, Kota",
Cities,IDN.72.209,"Palu, Kota",
Districts,IDN.35.151,"Pamekasan, Kab.",
Districts,IDN.36.284,"Pandeglang, Kab.",
Districts,IDN.73.221,"Pangkajene Kepulauan, Kab.",
Cities,IDN.19.290,"Pangkal Pinang, Kota",
Districts,IDN.94.277,"Paniai, Kab.",
Provinces,IDN.91,"Papua Barat, Prop.",http://dbpedia.org/resource/West_Papua_(province)
Provinces,IDN.94,"Papua, Prop.",http://dbpedia.org/resource/Papua_(province)
Cities,IDN.73.231,"Pare-Pare, Kota",
Cities,IDN.13.354,"Pariaman, Kota",
Districts,IDN.72.366,"Parigi Moutong, Kab.",
Districts,IDN.13.414,"Pasaman Barat, Kab.",
Districts,IDN.13.31,"Pasaman, Kab.",
Districts,IDN.64.196,"Pasir, Kab.",
Districts,IDN.35.152,"Pasuruan, Kab.",
Cities,IDN.35.167,"Pasuruan, Kota",
Districts,IDN.33.109,"Pati, Kab.",
Cities,IDN.13.39,"Payakumbuh, Kota",
Districts,IDN.94.375,"Pegunungan Bintang, Kab.",
Districts,IDN.33.110,"Pekalongan, Kab.",
Cities,IDN.33.123,"Pekalongan, Kota",
Cities,IDN.14.47,"Pekan Baru, Kota",
Districts,IDN.14.300,"Pelalawan, Kab.",
Districts,IDN.33.111,"Pemalang, Kab.",
Cities,IDN.12.24,"Pematang Siantar, Kota",
Districts,IDN.64.364,"Penajam Paser Utara, Kab.",
Districts,IDN.18.454,"Pesawaran, Kab.",
Districts,IDN.13.32,"Pesisir Selatan, Kab.",
Districts,IDN.11.441,"Pidie Jaya, Kab.",
Districts,IDN.73.222,"Pinrang, Kab.",
Districts,IDN.75.410,"Pohuwato, Kab.",
Districts,IDN.76.223,"Polewali Mandar, Kab.",
Districts,IDN.35.153,"Ponorogo, Kab.",
Districts,IDN.61.172,"Pontianak, Kab.",
Cities,IDN.61.176,"Pontianak, Kota",
Districts,IDN.72.207,"Poso, Kab.",
Cities,IDN.16.341,"Prabumulih, Kota",
Districts,IDN.18.481,"Pringsewu, Kab.",
Districts,IDN.35.154,"Probolinggo, Kab.",
Cities,IDN.35.168,"Probolinggo, Kota",
Districts,IDN.62.360,"Pulang Pisau, Kab.",
Districts,IDN.94.336,"Puncak Jaya, Kab.",
Districts,IDN.94.464,"Puncak, Kab.",
Districts,IDN.33.112,"Purbalingga, Kab.",
Districts,IDN.32.83,"Purwakarta, Kab.",
Districts,IDN.33.113,"Purworejo, Kab.",
Districts,IDN.91.384,"Raja Ampat, Kab.",
Districts,IDN.17.63,"Rejang Lebong, Kab.",
Districts,IDN.33.114,"Rembang, Kab.",
Provinces,IDN.14,"Riau, Prop.",http://dbpedia.org/resource/Riau
Districts,IDN.14.303,"Rokan Hilir, Kab.",
Districts,IDN.14.302,"Rokan Hulu, Kab.",
Districts,IDN.53.370,"Rote Ndao, Kab.",
Cities,IDN.11.10,"Sabang, Kota",
Districts,IDN.53.485,"Sabu Raijua, Kab.",
Cities,IDN.33.124,"Salatiga, Kota",
Cities,IDN.64.198,"Samarinda, Kota",
Districts,IDN.61.173,"Sambas, Kab.",
Districts,IDN.12.413,"Samosir, Kab.",
Districts,IDN.35.155,"Sampang, Kab.",
Districts,IDN.61.174,"Sanggau, Kab.",
Districts,IDN.94.373,"Sarmi, Kab.",
Districts,IDN.15.308,"Sarolangun, Kab.",
Districts,IDN.13.33,"Sawahlunto Sijunjung, Kab.",
Cities,IDN.13.40,"Sawahlunto, Kota",
Districts,IDN.61.423,"Sekadau, Kab.",
Districts,IDN.73.224,"Selayar, Kab.",
Districts,IDN.17.389,"Seluma, Kab.",
Districts,IDN.33.115,"Semarang, Kab.",
Cities,IDN.33.125,"Semarang, Kota",
Districts,IDN.81.434,"Seram Bagian Barat, Kab.",
Districts,IDN.81.433,"Seram Bagian Timur, Kab.",
Districts,IDN.36.285,"Serang, Kab.",
Cities,IDN.36.453,"Serang, Kota",
Districts,IDN.12.412,"Serdang Bedagai, Kab.",
Districts,IDN.62.358,"Seruyan, Kab.",
Districts,IDN.14.301,"Siak, Kab.",
Cities,IDN.12.25,"Sibolga, Kota",
Districts,IDN.73.225,"Sidenreng Rappang, Kab.",
Districts,IDN.35.156,"Sidoarjo, Kab.",
Districts,IDN.72.471,"Sigi, Kab.",
Districts,IDN.53.261,"Sikka, Kab.",
Districts,IDN.12.17,"Simalungun, Kab.",
Districts,IDN.11.293,"Simeulue, Kab.",
Cities,IDN.61.347,"Singkawang, Kota",
Districts,IDN.73.226,"Sinjai, Kab.",
Districts,IDN.61.175,"Sintang, Kab.",
Districts,IDN.35.157,"Situbondo, Kab.",
Districts,IDN.34.131,"Sleman, Kab.",
Districts,IDN.13.416,"Solok Selatan, Kab.",
Districts,IDN.13.34,"Solok, Kab.",
Cities,IDN.13.41,"Solok, Kota",
Districts,IDN.73.227,"Soppeng, Kab.",
Districts,IDN.91.383,"Sorong Selatan, Kab.",
Districts,IDN.91.280,"Sorong, Kab.",
Cities,IDN.91.334,"Sorong, Kota",
Districts,IDN.33.116,"Sragen, Kab.",
Districts,IDN.32.84,"Subang, Kab.",
Cities,IDN.11.442,"Subulussalam, Kota",
Districts,IDN.32.85,"Sukabumi, Kab.",
Cities,IDN.32.92,"Sukabumi, Kota",
Districts,IDN.62.356,"Sukamara, Kab.",
Districts,IDN.33.117,"Sukoharjo, Kab.",
Provinces,IDN.76,"Sulawesi Barat, Prop.",http://dbpedia.org/resource/West_Sulawesi
Provinces,IDN.73,"Sulawesi Selatan, Prop.",http://dbpedia.org/resource/South_Sulawesi
Provinces,IDN.72,"Sulawesi Tengah, Prop.",http://dbpedia.org/resource/Central_Sulawesi
Provinces,IDN.74,"Sulawesi Tenggara, Prop.",http://dbpedia.org/resource/Southeast_Sulawesi
Provinces,IDN.71,"Sulawesi Utara, Prop.",http://dbpedia.org/resource/North_Sulawesi
Provinces,IDN.13,"Sumatera Barat, Prop.",http://dbpedia.org/resource/West_Sumatra
Provinces,IDN.16,"Sumatera Selatan, Prop.",http://dbpedia.org/resource/South_Sumatra
Provinces,IDN.12,"Sumatera Utara, Prop.",http://dbpedia.org/resource/North_Sumatra
Districts,IDN.53.450,"Sumba Barat Daya, Kab.",
Districts,IDN.53.262,"Sumba Barat, Kab.",
Districts,IDN.53.437,"Sumba Tengah, Kab.",
Cities,IDN.53.263,"Sumba Timur, Kota",
Districts,IDN.52.430,"Sumbawa Barat, Kab.",
Districts,IDN.52.252,"Sumbawa, Kab.",
Districts,IDN.32.86,"Sumedang, Kab.",
Districts,IDN.35.158,"Sumenep, Kab.",
Cities,IDN.15.469,"Sungai Penuh, Kota",
Districts,IDN.94.432,"Supiori, Kab.",
Cities,IDN.35.169,"Surabaya, Kota",
Cities,IDN.33.126,"Surakarta, Kota",
Districts,IDN.63.189,"Tabalong, Kab.",
Districts,IDN.51.245,"Tabanan, Kab.",
Districts,IDN.73.228,"Takalar, Kab.",
Districts,IDN.91.489,"Tambrauw, Kab.",
Districts,IDN.64.455,"Tana Tidung, Kab.",
Districts,IDN.73.229,"Tana Toraja, Kab.",
Districts,IDN.63.393,"Tanah Bumbu, Kab.",
Districts,IDN.13.35,"Tanah Datar, Kab.",
Districts,IDN.12.18,"Tanah Karo, Kab.",
Districts,IDN.63.190,"Tanah Laut, Kab.",
Cities,IDN.36.484,"Tangerang Selatan, Kota",
Districts,IDN.36.286,"Tangerang, Kab.",
Cities,IDN.36.287,"Tangerang, Kota",
Districts,IDN.18.70,"Tanggamus, Kab.",
Cities,IDN.12.26,"Tanjung Balai, Kota",
Districts,IDN.15.52,"Tanjung Jabung Barat, Kab.",
Districts,IDN.15.310,"Tanjung Jabung Timur, Kab.",
Cities,IDN.21.340,"Tanjung Pinang, Kota",
Districts,IDN.12.19,"Tapanuli Selatan, Kab.",
Districts,IDN.12.20,"Tapanuli Tengah, Kab.",
Districts,IDN.12.21,"Tapanuli Utara, Kab.",
Districts,IDN.63.191,"Tapin, Kab.",
Cities,IDN.64.199,"Tarakan, Kota",
